累积净值,最大回撤,因子名,因子参数,多头,空头
1.644,-3.84%,EMS6K,70,1,1
1.584,-4.06%,EMS6K,72,1,1
1.516,-3.90%,EMS6K,66,1,1
1.512,-3.90%,NX9YN,48,1,1
1.321,-3.00%,EMS6K,57,2,1
1.487,-4.38%,KBZSB,48,1,1
1.485,-4.47%,NX9YN,50,1,1
1.294,-2.99%,EMS6K,55,2,1
1.122,-1.35%,UJ3ZP,66,6,1
1.478,-4.65%,KBZSB,45,1,1
1.326,-3.55%,EMS6K,60,2,1
1.397,-4.22%,EMS6K,64,1,1
1.357,-3.94%,EMS6K,60,1,1
1.341,-3.79%,KBZSB,48,2,1
1.341,-3.82%,THXW5,70,2,1
1.13,-1.66%,K0M86,36,4,1
1.249,-3.06%,EMS6K,55,3,1
1.271,-3.33%,THXW5,66,3,1
1.485,-5.52%,NX9YN,45,1,1
1.262,-3.33%,EMS6K,52,2,1
1.273,-3.50%,EMS6K,54,2,1
1.353,-4.44%,33T8U,66,1,1
1.324,-4.14%,THXW5,72,3,1
1.314,-4.07%,33T8U,64,1,1
1.244,-3.29%,EMS6K,50,2,1
1.452,-5.55%,NX9YN,52,1,1
1.249,-3.39%,7R2KK,57,1,1
1.236,-3.24%,EMS6K,54,3,1
1.294,-3.94%,THXW5,70,3,1
1.244,-3.36%,EMS6K,57,3,1
1.226,-3.19%,EMS6K,52,3,1
1.219,-3.15%,EMS6K,50,3,1
1.3,-4.18%,KBZSB,45,2,1
1.221,-3.24%,THXW5,64,3,1
1.297,-4.26%,EMS6K,66,2,1
1.395,-5.49%,33T8U,70,1,1
1.216,-3.27%,EMS6K,48,3,1
1.231,-3.48%,THXW5,66,4,1
1.26,-3.90%,NX9YN,48,2,1
1.42,-5.88%,KBZSB,50,1,1
1.301,-4.45%,NX9YN,42,2,1
1.287,-4.27%,EMS6K,64,2,1
1.213,-3.30%,THXW5,66,5,1
1.33,-4.84%,THXW5,72,2,1
1.428,-6.05%,33T8U,72,1,1
1.287,-4.35%,EMS6K,70,2,1
1.282,-4.29%,TVIHB,24,1,1
1.255,-3.98%,NX9YN,45,2,1
1.278,-4.35%,33T8U,60,1,1
1.309,-4.79%,HDZXF,66,2,1
1.282,-4.45%,NX9YN,40,2,1
1.215,-3.53%,EMS6K,48,2,1
1.195,-3.28%,VD20C,64,4,1
1.237,-3.91%,MPTUI,72,2,1
1.243,-4.00%,KBZSB,40,2,1
1.217,-3.62%,EMS6K,45,3,1
1.233,-3.88%,33T8U,55,2,1
1.251,-4.20%,THXW5,70,4,1
1.202,-3.47%,33T8U,57,3,1
1.249,-4.21%,THXW5,72,4,1
1.265,-4.45%,NX9YN,39,2,1
1.242,-4.12%,MPTUI,70,2,1
1.251,-4.28%,693BT,72,1,1
1.223,-3.87%,33T8U,60,3,1
1.129,-2.35%,O69NN,45,1,1
1.206,-3.62%,THXW5,66,6,1
1.34,-5.58%,UEJFN,57,1,1
1.254,-4.37%,KBZSB,50,2,1
1.222,-3.88%,33T8U,54,2,1
1.284,-4.84%,KZU5N,33,1,1
1.203,-3.62%,EMS6K,55,4,1
1.188,-3.37%,EMS6K,45,4,1
1.367,-6.04%,UEJFN,55,1,1
1.212,-3.77%,EMS6K,60,3,1
1.223,-3.95%,KBZSB,48,3,1
